des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h
2024 GC,5,2460389.565243891,2024-Mar-20 01:34,0.0771661553886019,0.0769527216063277,0.0773795873449411,6.63724767648393,6.63204331119867,00:01,24.91
2024 EQ3,2,2460389.732581809,2024-Mar-20 05:35,0.0307993137886953,0.0304661989432402,0.0311324172738145,10.8202436839036,10.8122454367887,00:05,27.01
2024 EZ3,8,2460390.113945091,2024-Mar-20 14:44,0.029680313308461,0.0296102019483927,0.0297504229191876,5.84468483319853,5.82930489591415,< 00:01,25.80
2024 EY3,5,2460390.285382031,2024-Mar-20 18:51,0.0305932771068887,0.0304254269310031,0.0307611249064539,11.6181304842467,11.6106317099149,< 00:01,24.56
2024 FD1,2,2460390.333376457,2024-Mar-20 20:00,0.00732146943725843,0.00729625079536437,0.00734668309323042,5.083201791257,5.01109636136317,< 00:01,29.42
2024 FC4,4,2460390.643975776,2024-Mar-21 03:27,0.0128312266884853,0.0127346640843568,0.0129277848191289,10.8987152219395,10.8796452966347,00:08,25.09
2024 GS,2,2460390.723673508,2024-Mar-21 05:22,0.0304038869580062,0.0300578256586614,0.0307499319947118,9.35591010066001,9.34653847842769,00:04,26.64
2024 CZ7,8,2460391.230764717,2024-Mar-21 17:32,0.0873461904258844,0.0872988220198636,0.0873935587111104,5.09159991439722,5.08560518121947,< 00:01,23.03
2024 FN2,1,2460391.365277029,2024-Mar-21 20:46,0.0253863678313265,0.0252137385171248,0.0255589876223238,6.90590414709988,6.89068921845964,00:05,25.82
2023 RK44,27,2460391.719874422,2024-Mar-22 05:17,0.0841168521169571,0.0841149486783693,0.0841187555562574,3.73715089394328,3.72866530388731,< 00:01,23.69
2024 FD5,1,2460392.059833498,2024-Mar-22 13:26,0.0166768057589497,0.0165606474140018,0.0167929626186263,17.9190162397921,17.9100977069919,00:09,25.83
2004 FH,28,2460392.094232823,2024-Mar-22 14:16,0.0930056318363045,0.0930016193931504,0.093009644279834,9.95551407789748,9.95263600228872,< 00:01,26.41
2024 FS5,2,2460392.172651652,2024-Mar-22 16:09,0.0389801451310383,0.038665171601941,0.0392951176039228,25.026857139249,25.0241257330519,00:03,24.75
2024 FK1,6,2460392.230299233,2024-Mar-22 17:32,0.00687565331845753,0.00686879292592636,0.00688251351994627,7.50602018592765,7.45421299808953,< 00:01,26.14
2024 EU4,5,2460393.036935059,2024-Mar-23 12:53,0.0484268833304699,0.0484101687360821,0.0484435979244283,28.3000057690752,28.2980615095652,< 00:01,22.11
2024 EL4,5,2460393.362837574,2024-Mar-23 20:42,0.0377361433799401,0.0377075482157886,0.0377647385004827,11.8014863342645,11.7955018288472,< 00:01,24.84
2017 UQ7,7,2460393.467966835,2024-Mar-23 23:14,0.0711093858652072,0.0702067820734731,0.0833238110859518,13.7000376478967,13.6973023349218,1_18:05,25.25
2017 FV101,5,2460393.720242177,2024-Mar-24 05:17,0.0711412636593719,0.0441199821280758,0.357938770209833,16.1200835617596,16.1177599969316,8_07:30,25.1
2019 EU1,4,2460394.025735669,2024-Mar-24 12:37,0.0637940330085294,0.0257574542308099,0.104424922055279,8.16204165612683,8.15692283803539,9_00:27,25.6
2024 EC4,2,2460394.157948177,2024-Mar-24 15:47,0.0497933786446263,0.0492477024302257,0.0503389760925063,4.03409181125836,4.02080530613845,00:10,25.72
264993,76,2460394.219452493,2024-Mar-24 17:16,0.0596495940901656,0.0596494260470143,0.0596497621333202,12.5775287545288,12.57397677157,< 00:01,20.42
2024 GO6,8,2460394.423166678,2024-Mar-24 22:09,0.0608941267205781,0.0602231582279942,0.0615650706052064,6.92460654434535,6.91828475329593,00:08,24.33
2019 CJ,17,2460394.449480582,2024-Mar-24 22:47,0.0319132090430836,0.0319130814370313,0.0319133366492048,4.35906571491349,4.33986993520581,< 00:01,25.33
2005 TU50,49,2460394.551742763,2024-Mar-25 01:15,0.0721611255794134,0.0721609407443592,0.0721613104145126,20.936297147551,20.934533436331,< 00:01,21.47
2024 FH5,1,2460394.568790030,2024-Mar-25 01:39,0.0685141434146382,0.0680363907330733,0.068991897694016,9.54023279528906,9.53615555821151,00:03,25.09
2024 FH4,1,2460394.595965421,2024-Mar-25 02:18,0.0384328087981196,0.0382515284530093,0.0386140877847738,13.1864271291969,13.1811685345276,< 00:01,25.84
