"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2024 BK4)","2024-Feb-07 17:08 ± < 00:01","0.07093","0.07071","6.66","6.66","25.2","24 m -   54 m","0"
"(2024 CF4)","2024-Feb-07 21:39 ±    00:04","0.02859","0.02840","22.06","22.06","25.0","26 m -   59 m","0"
"(2024 CG2)","2024-Feb-08 03:42 ± < 00:01","0.00666","0.00666","9.18","9.13","23.1","64 m -  140 m","2"
"(2024 CK1)","2024-Feb-08 09:29 ± < 00:01","0.00152","0.00152","12.06","11.91","29.4","3.6 m -  8.0 m","0"
"(2024 CO2)","2024-Feb-08 18:51 ±    00:04","0.00380","0.00378","10.60","10.54","26.8","11 m -   25 m","0"
"(2024 EM1)","2024-Feb-09 00:29 ±    02:09","0.05547","0.05526","0.39","0.24","27.1","10 m -   23 m","0"
"152563 (1992 BF)","2024-Feb-09 04:50 ± < 00:01","0.14080","0.14080","7.08","7.08","19.7","0.272±0.077 km","0"
"(2024 CH1)","2024-Feb-09 06:53 ±    00:04","0.08603","0.08513","7.10","7.10","25.2","25 m -   55 m","0"
"(2020 CC2)","2024-Feb-09 13:52 ± 5_14:13","0.18203","0.07085","16.05","16.05","25.1","26 m -   57 m","0"
"(2024 FQ)","2024-Feb-09 18:41 ± < 00:01","0.03316","0.03316","3.54","3.51","25.6","20 m -   45 m","0"
"(2016 WR)","2024-Feb-09 18:56 ± 2_04:36","0.12536","0.12042","6.15","6.14","26.6","13 m -   29 m","0"
"(2024 CJ1)","2024-Feb-09 20:10 ± < 00:01","0.00246","0.00245","7.63","7.48","28.4","5.5 m -   12 m","0"
"(2024 BJ4)","2024-Feb-10 09:46 ±    02:04","0.07760","0.07627","8.09","8.08","25.6","20 m -   44 m","0"
"(2024 BH)","2024-Feb-10 10:37 ± < 00:01","0.04704","0.04700","8.08","8.07","23.2","60 m -  130 m","0"
"(2024 CN8)","2024-Feb-10 13:11 ±    00:02","0.00307","0.00306","3.12","2.83","28.9","4.3 m -  9.6 m","0"
"(2024 CV1)","2024-Feb-10 21:53 ± < 00:01","0.01328","0.01324","3.06","3.00","28.7","4.9 m -   11 m","0"
"(2024 CO1)","2024-Feb-11 03:40 ± < 00:01","0.11067","0.11064","29.17","29.17","20.2","240 m -  530 m","0"
"(2009 DB1)","2024-Feb-11 04:28 ± < 00:01","0.08410","0.08410","15.27","15.27","23.1","65 m -  150 m","0"
"(2024 CH4)","2024-Feb-11 06:10 ±    00:03","0.00073","0.00073","24.01","23.86","27.7","7.7 m -   17 m","1"
"(2024 CZ3)","2024-Feb-11 07:57 ± < 00:01","0.01315","0.01314","9.30","9.28","25.0","27 m -   61 m","0"
"(2024 CU)","2024-Feb-11 08:58 ± < 00:01","0.00462","0.00462","7.25","7.17","26.4","14 m -   31 m","0"
"(2022 EO)","2024-Feb-11 13:14 ± 2_11:03","0.18679","0.17832","5.52","5.52","29.5","3.4 m -  7.5 m","0"
"523941 (1998 HK49)","2024-Feb-11 13:44 ± < 00:01","0.14124","0.14124","5.59","5.58","22.2","97 m -  220 m","0"
"(2024 EE1)","2024-Feb-11 16:36 ±    01:06","0.04142","0.04110","5.60","5.58","26.0","17 m -   37 m","0"
"(2017 UP2)","2024-Feb-12 01:03 ± < 00:01","0.14525","0.14525","15.67","15.67","20.1","250 m -  560 m","0"
"(2024 CC4)","2024-Feb-12 04:18 ± < 00:01","0.01176","0.01163","7.76","7.73","27.5","8.3 m -   19 m","0"
"(2024 CY1)","2024-Feb-12 07:32 ± < 00:01","0.00081","0.00081","14.53","14.30","29.2","3.8 m -  8.5 m","0"
"(2020 DK)","2024-Feb-12 13:49 ± 3_12:28","0.02279","0.00941","9.87","9.86","26.1","16 m -   36 m","0"
"(2024 BH5)","2024-Feb-12 14:56 ± < 00:01","0.09367","0.09362","11.82","11.81","23.8","46 m -  100 m","0"
"(2024 CM5)","2024-Feb-12 15:42 ± < 00:01","0.00094","0.00094","10.76","10.50","28.3","5.7 m -   13 m","0"
"(2023 CU)","2024-Feb-12 21:00 ±    00:14","0.09536","0.09515","7.56","7.56","27.2","9.5 m -   21 m","0"
"(2024 AX)","2024-Feb-13 00:18 ± < 00:01","0.10073","0.10069","8.87","8.87","22.9","71 m -  160 m","0"
"(2024 CM2)","2024-Feb-13 01:08 ±    00:02","0.15518","0.15486","11.17","11.17","24.1","40 m -   89 m","0"
"(2024 CG4)","2024-Feb-13 01:57 ± < 00:01","0.05600","0.05582","18.56","18.55","23.6","49 m -  110 m","0"
"(2024 DD)","2024-Feb-13 03:15 ±    00:14","0.00885","0.00878","13.24","13.22","27.9","6.9 m -   15 m","0"
"(2024 CF8)","2024-Feb-13 04:38 ±    00:06","0.18871","0.18845","4.03","4.03","24.6","32 m -   71 m","0"
"(2024 CD4)","2024-Feb-13 05:17 ± < 00:01","0.01114","0.01113","6.39","6.35","26.6","12 m -   28 m","0"
"665326 (2009 EF3)","2024-Feb-13 05:18 ± < 00:01","0.19895","0.19895","11.75","11.75","21.6","130 m -  290 m","0"
"(2024 CO5)","2024-Feb-13 05:45 ± < 00:01","0.06964","0.06946","6.82","6.82","24.9","27 m -   61 m","0"
"(2024 DG1)","2024-Feb-13 07:31 ±    00:14","0.11207","0.11140","6.49","6.48","24.5","34 m -   75 m","0"
"(2024 CB1)","2024-Feb-13 08:07 ± < 00:01","0.00979","0.00977","17.55","17.53","24.1","39 m -   88 m","1"
"(2024 AX1)","2024-Feb-13 08:52 ± < 00:01","0.10143","0.10141","5.30","5.29","23.9","45 m -  100 m","0"
"(2024 DH)","2024-Feb-13 09:00 ±    00:01","0.01843","0.01828","17.61","17.60","26.2","16 m -   35 m","0"
"(2024 CB7)","2024-Feb-13 09:47 ± < 00:01","0.01130","0.01128","8.27","8.24","26.0","17 m -   37 m","0"
"612197 (2000 WP19)","2024-Feb-13 11:08 ± < 00:01","0.15820","0.15820","10.78","10.77","22.9","69 m -  150 m","0"
"(2024 AZ10)","2024-Feb-13 15:52 ± < 00:01","0.08229","0.08227","20.67","20.67","22.5","83 m -  180 m","0"
"(2017 YV8)","2024-Feb-13 17:07 ±    05:23","0.14684","0.14674","6.05","6.04","27.3","9.2 m -   21 m","0"
"(2024 DA)","2024-Feb-13 22:15 ± < 00:01","0.00813","0.00810","12.52","12.49","27.4","8.8 m -   20 m","0"
"(2024 FR1)","2024-Feb-14 02:52 ±    00:13","0.10602","0.10590","14.69","14.69","21.7","120 m -  270 m","0"
"(2024 DJ)","2024-Feb-14 03:00 ±    00:06","0.05826","0.05772","18.77","18.76","25.1","25 m -   55 m","0"
"(2024 CD1)","2024-Feb-14 03:03 ±    00:14","0.02528","0.02505","12.30","12.29","26.4","14 m -   31 m","0"
"(2024 CR6)","2024-Feb-14 03:10 ±    00:05","0.00281","0.00280","21.86","21.81","27.9","6.8 m -   15 m","0"
"(2024 CK3)","2024-Feb-14 05:24 ± < 00:01","0.04493","0.04484","7.78","7.77","24.7","30 m -   67 m","0"
"(2024 CL1)","2024-Feb-14 07:11 ±    00:01","0.00865","0.00859","14.25","14.23","25.8","18 m -   41 m","0"
"(2024 BR4)","2024-Feb-14 11:03 ± < 00:01","0.03075","0.03061","12.46","12.46","21.4","140 m -  310 m","1"
"(2024 DC1)","2024-Feb-14 13:25 ±    01:27","0.04387","0.04325","6.97","6.96","26.7","12 m -   27 m","0"
"(2024 CU1)","2024-Feb-14 13:31 ± < 00:01","0.00391","0.00390","10.81","10.75","26.7","12 m -   27 m","0"
"(2018 CY2)","2024-Feb-14 16:34 ± < 00:01","0.05620","0.05620","15.21","15.20","22.4","86 m -  190 m","0"
"(2022 CK6)","2024-Feb-14 18:54 ±    03:42","0.15381","0.15027","12.07","12.07","26.6","13 m -   29 m","0"
"(2024 CE1)","2024-Feb-15 00:01 ± < 00:01","0.02830","0.02800","9.16","9.15","25.6","20 m -   45 m","0"
"(2024 DK1)","2024-Feb-15 07:53 ±    00:05","0.01383","0.01375","6.82","6.79","27.2","9.5 m -   21 m","0"
"(2024 CN3)","2024-Feb-15 12:27 ±    00:14","0.04009","0.03984","9.22","9.21","26.2","15 m -   34 m","0"
"(2024 BT1)","2024-Feb-15 14:20 ± < 00:01","0.15412","0.15411","10.42","10.42","21.3","150 m -  330 m","0"
"(2023 RS2)","2024-Feb-15 14:27 ±    00:01","0.11715","0.11714","3.43","3.43","24.0","42 m -   93 m","0"
"(2024 EW2)","2024-Feb-15 15:54 ±    00:25","0.05203","0.05131","23.29","23.29","22.0","110 m -  240 m","0"
"(2024 CY)","2024-Feb-15 16:42 ± < 00:01","0.05117","0.05116","1.78","1.75","25.4","22 m -   49 m","0"
"(2024 CE4)","2024-Feb-15 19:33 ± < 00:01","0.00628","0.00627","18.67","18.64","27.3","9.3 m -   21 m","0"
"(2024 CP5)","2024-Feb-16 00:25 ± < 00:01","0.04266","0.04251","7.82","7.82","26.0","17 m -   37 m","0"
"(2024 BZ10)","2024-Feb-16 00:37 ± < 00:01","0.12045","0.12043","5.77","5.77","23.6","50 m -  110 m","0"
"(2024 DE)","2024-Feb-16 01:01 ± < 00:01","0.01313","0.01310","6.22","6.19","27.8","7.3 m -   16 m","0"
"(2024 CK6)","2024-Feb-16 01:32 ± < 00:01","0.02878","0.02872","8.23","8.22","26.6","13 m -   29 m","0"
"(2024 CP4)","2024-Feb-16 01:52 ± < 00:01","0.01455","0.01450","11.61","11.60","25.4","23 m -   50 m","0"
"(2024 AO)","2024-Feb-16 03:05 ± < 00:01","0.02370","0.02370","7.29","7.28","24.2","38 m -   85 m","0"
"(1995 FO)","2024-Feb-16 03:17 ± < 00:01","0.13311","0.13311","8.92","8.91","20.8","190 m -  410 m","0"
"(2024 CC8)","2024-Feb-16 05:13 ±    00:03","0.07552","0.07489","11.88","11.88","25.1","26 m -   57 m","0"
"(2016 CK246)","2024-Feb-16 05:59 ± < 00:01","0.14015","0.14015","10.53","10.52","21.8","0.094±0.002 km","0"
"(2024 CV5)","2024-Feb-16 13:02 ±    02:27","0.10016","0.09954","6.84","6.83","25.3","23 m -   52 m","0"
"(2024 DV)","2024-Feb-16 17:37 ± < 00:01","0.00881","0.00880","5.69","5.64","26.3","15 m -   33 m","0"
"(2024 CT6)","2024-Feb-16 21:24 ± < 00:01","0.00240","0.00240","20.94","20.89","29.2","3.9 m -  8.6 m","0"
"(2024 CA2)","2024-Feb-16 23:40 ±    00:09","0.03009","0.02939","10.74","10.73","24.4","36 m -   80 m","0"
"(2023 CA2)","2024-Feb-17 00:42 ±    06:54","0.19457","0.18777","18.35","18.35","24.1","40 m -   90 m","0"
"(2024 CF7)","2024-Feb-17 05:12 ±    00:01","0.00071","0.00071","10.61","10.25","29.5","3.4 m -  7.6 m","0"
"(2024 DZ)","2024-Feb-17 06:32 ±    00:01","0.01216","0.01212","7.59","7.56","28.4","5.4 m -   12 m","0"
"(2024 BJ5)","2024-Feb-17 11:42 ± < 00:01","0.09533","0.09480","11.94","11.94","22.5","83 m -  190 m","0"
"(2024 CR5)","2024-Feb-17 14:43 ± < 00:01","0.04392","0.04345","14.12","14.11","25.6","21 m -   46 m","0"
"(2024 CZ2)","2024-Feb-17 14:49 ±    00:02","0.09022","0.08986","5.60","5.60","25.9","17 m -   39 m","0"
"(2013 DB1)","2024-Feb-17 15:48 ± < 00:01","0.08843","0.08843","4.60","4.59","26.1","16 m -   36 m","0"
"(2024 CS6)","2024-Feb-17 17:29 ± < 00:01","0.01915","0.01911","6.67","6.65","26.1","16 m -   35 m","0"
