des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h,diameter,diameter_sigma,fullname
2023 BK4,8,2459974.192458927,2023-Jan-29 16:37,0.01864225844313,0.0186088045114063,0.0186757118602472,8.18722585761073,8.1697499066301,< 00:01,26.45,,,       (2023 BK4)
2023 BV5,6,2459974.570740100,2023-Jan-30 01:42,0.0168499923960347,0.016806575385373,0.0168934020481617,3.15401862927808,3.10347783880696,< 00:01,27.84,,,       (2023 BV5)
2023 CK,1,2459974.829145874,2023-Jan-30 07:54,0.00070336079822191,0.000701819518638465,0.000704901745687393,9.59578127880119,9.192529342345,00:02,27.02,,,       (2023 CK)
2023 BJ7,2,2459975.065447918,2023-Jan-30 13:34,0.00247869985574913,0.00247529261236971,0.00248210678974043,7.99983218305982,7.86431269776273,< 00:01,28.76,,,       (2023 BJ7)
2023 CA,6,2459975.094081140,2023-Jan-30 14:15,0.00440598584586712,0.00439849189600224,0.00441347960035919,12.6128569519284,12.5648190962013,< 00:01,26.15,,,       (2023 CA)
2023 BA3,8,2459975.230556189,2023-Jan-30 17:32,0.00872344529173608,0.00871492843767164,0.00873196201286163,8.76722828132208,8.73232008012473,< 00:01,26.46,,,       (2023 BA3)
2023 CE,1,2459975.308781301,2023-Jan-30 19:25,0.0330605397636596,0.0328844147364269,0.0332366637026498,16.5968775754836,16.5920208945354,< 00:01,25.70,,,       (2023 CE)
2023 AS1,9,2459975.738485457,2023-Jan-31 05:43,0.0300847870536933,0.030003290670249,0.0301662813751184,6.1779202211902,6.1635677102092,< 00:01,25.79,,,       (2023 AS1)
2023 BA4,8,2459975.896498484,2023-Jan-31 09:31,0.045193440931212,0.045014482581296,0.0453723965735833,7.85961670053732,7.85211183394022,< 00:01,24.78,,,       (2023 BA4)
2023 CL2,10,2459975.915297334,2023-Jan-31 09:58,0.0211637661562966,0.0211606967399817,0.021166835560242,4.9819547343325,4.956619477382,< 00:01,24.89,,,       (2023 CL2)
2023 BQ2,3,2459976.473008265,2023-Jan-31 23:21,0.0146647210731517,0.0146149614887393,0.0147144800240278,13.9193520491009,13.9062926465167,< 00:01,26.56,,,       (2023 BQ2)
2023 BP6,6,2459976.521596995,2023-Feb-01 00:31,0.0173622730317125,0.0173010124254058,0.0174235322354698,9.73224418229979,9.71646280010259,< 00:01,23.85,,,       (2023 BP6)
2023 CR1,2,2459976.673769082,2023-Feb-01 04:10,0.0152901736865174,0.0151095041163572,0.0154708213594684,8.4177525076182,8.39702539541466,00:07,25.87,,,       (2023 CR1)
2023 CB,4,2459977.288457256,2023-Feb-01 18:55,0.0407164654294745,0.0404062861846184,0.0410266345823296,7.8374892847094,7.82913523899635,< 00:01,26.22,,,       (2023 CB)
2017 DU34,5,2459977.703898862,2023-Feb-02 04:54,0.0339878385725913,0.0330859846008385,0.0485441271593336,11.1556941258299,11.1486645508886,3_17:30,26.8,,,       (2017 DU34)
2023 BY4,2,2459977.759928801,2023-Feb-02 06:14,0.0329338953871867,0.032760671260683,0.0331071169525268,10.7545356178819,10.7470102182722,< 00:01,24.75,,,       (2023 BY4)
